file_name,label,rms_mean,rms_std,spectral_centroid_mean,spectral_bandwidth_mean,spectral_flux_mean,spectral_rolloff_mean,zcr_mean,pitch_mean,hnr_mean,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,delta_mfcc_mean_0,delta_mfcc_mean_1,delta_mfcc_mean_2,delta_mfcc_mean_3,delta_mfcc_mean_4,delta_mfcc_mean_5,delta_mfcc_mean_6,delta_mfcc_mean_7,delta_mfcc_mean_8,delta_mfcc_mean_9,delta_mfcc_mean_10,delta_mfcc_mean_11,delta_mfcc_mean_12,delta2_mfcc_mean_0,delta2_mfcc_mean_1,delta2_mfcc_mean_2,delta2_mfcc_mean_3,delta2_mfcc_mean_4,delta2_mfcc_mean_5,delta2_mfcc_mean_6,delta2_mfcc_mean_7,delta2_mfcc_mean_8,delta2_mfcc_mean_9,delta2_mfcc_mean_10,delta2_mfcc_mean_11,delta2_mfcc_mean_12
clunking over bumps bad stabilizer link noise_segment_2.wav,SUSPENSION AND STEERING ISSUES,0.37811947,0.017779432,3499.7962455299707,2491.109089414068,0.81531465,6608.18829113924,0.3736340486550633,1948.5275,1.0124389,120.06544494628906,24.115034103393555,18.79145050048828,13.67867660522461,10.318890571594238,6.9775776863098145,4.942138671875,3.8747990131378174,3.342494487762451,2.3690664768218994,0.9522074460983276,0.49015894532203674,0.14788983762264252,5.802001476287842,2.764660596847534,2.3053555488586426,2.6112852096557617,2.620673179626465,2.4682364463806152,3.0700011253356934,2.8523693084716797,2.4968202114105225,2.806748867034912,3.022096872329712,2.625701904296875,2.3284378051757812,-0.0008307378739118576,-0.032314278185367584,-0.04924696683883667,-0.04472599923610687,-0.041274283081293106,-0.019056009128689766,0.07648056745529175,0.08346005529165268,-0.0035617442335933447,-0.03114190325140953,0.0005603930330835283,0.019507035613059998,0.05091218650341034,-0.2724945843219757,0.0056536938063800335,0.006018980406224728,0.013228659518063068,-0.0006517783040180802,0.014618844725191593,-0.05372055247426033,-0.011764981783926487,0.00160892098210752,0.07979805767536163,0.09068132936954498,0.04845796898007393,0.007542608771473169
clunking over bumps bad stabilizer link noise_segment_3.wav,SUSPENSION AND STEERING ISSUES,0.3793108,0.019090524,3509.4213827646063,2489.0701542232514,0.8329966,6623.121044303797,0.37376384493670883,1943.1987,0.6650407,120.28569030761719,23.700603485107422,18.435731887817383,13.180044174194336,10.136594772338867,7.6327691078186035,5.552847862243652,3.469543933868408,2.893242359161377,2.120723009109497,1.4294676780700684,0.9500299692153931,0.5061579942703247,6.319545269012451,2.501081943511963,2.303025245666504,2.5261549949645996,2.3083302974700928,2.1682088375091553,2.8435816764831543,2.894920825958252,2.6322734355926514,2.7127022743225098,2.4406204223632812,2.8847367763519287,2.5337438583374023,0.07141949981451035,0.028835779055953026,0.0030425454024225473,-0.03309360891580582,-0.06417231261730194,-0.054696280509233475,-0.09693603962659836,-0.0007336826529353857,0.04996582865715027,-0.034391939640045166,-0.013326618820428848,0.02884763665497303,-0.07620727270841599,-0.32680848240852356,-0.060103125870227814,0.013260145671665668,0.005146479699760675,-0.0011619461001828313,0.02393389865756035,0.030206752941012383,0.0029646886978298426,0.003570214845240116,-0.02057740092277527,-0.012048697099089622,0.028024395927786827,-0.023284979164600372
knocking_segment_0.wav,SUSPENSION AND STEERING ISSUES,0.3794839,0.01896424,3724.809576370827,2347.8213926765047,0.85279113,6596.222310126583,0.43716005735759494,2070.6816,0.43715522,128.24075317382812,10.1474609375,0.16020318865776062,-2.7566401958465576,-1.1626696586608887,0.828941822052002,0.23824305832386017,1.476422667503357,-0.9950990080833435,1.541513204574585,0.3320501446723938,2.254136085510254,-0.9044187664985657,7.16649055480957,8.175538063049316,5.7929277420043945,5.651122570037842,3.257084608078003,5.594797611236572,5.744966506958008,2.447063684463501,3.8328359127044678,3.4324285984039307,3.5938515663146973,3.1510977745056152,3.420449733734131,0.14467914402484894,-0.010059972293674946,-0.17440100014209747,-0.12120036780834198,-0.04920383170247078,-0.03216318041086197,0.04949462041258812,-0.030401229858398438,-0.03293737769126892,0.028353560715913773,0.059858545660972595,-0.05028849467635155,-0.02448960766196251,-0.24880124628543854,0.06446661800146103,0.029116787016391754,0.03848693519830704,0.02154782973229885,0.08237235248088837,0.0823851227760315,-0.051710691303014755,0.004676859360188246,-0.010620316490530968,0.03909057751297951,0.004246662836521864,-0.010974767617881298
knocking_segment_1.wav,SUSPENSION AND STEERING ISSUES,0.37791657,0.019235833,3884.325269241818,2321.6132519416533,0.8153182,6656.942246835443,0.46570287776898733,2069.0522,0.44003633,125.43067932128906,3.1972081661224365,2.937838315963745,-1.0636247396469116,-3.8785157203674316,-4.188112735748291,-4.383504390716553,1.765594244003296,1.7212016582489014,4.42801570892334,2.4817450046539307,2.5702030658721924,-2.106811046600342,5.488587856292725,3.1591081619262695,2.533399820327759,3.205101251602173,2.4844071865081787,2.711381673812866,3.1708948612213135,2.641854763031006,3.416900157928467,2.364826202392578,2.9037318229675293,2.5455172061920166,2.388692855834961,0.062427110970020294,0.08213266730308533,0.015081526711583138,0.0024225329980254173,-0.07730086892843246,-0.041852038353681564,-0.05449172481894493,0.0021003191359341145,0.03705630823969841,-0.04966413602232933,-0.00019459180475678295,0.01252102293074131,0.05426032468676567,-0.23904162645339966,0.03830819949507713,-0.006365509703755379,-0.0958956629037857,-0.040366336703300476,-0.004215617664158344,-0.04467915743589401,0.00065183563856408,0.0264271292835474,-0.0009534577839076519,-0.01376655139029026,-0.07146474719047546,0.06200384721159935
knocking_segment_2.wav,SUSPENSION AND STEERING ISSUES,0.3773288,0.01860351,3847.081795555975,2327.3349129698295,0.8299828,6637.3615506329115,0.4560917721518987,2063.133,0.31195888,125.03999328613281,4.143431663513184,2.0675134658813477,-1.0288752317428589,-4.062875747680664,-4.9616312980651855,-5.249530792236328,1.7013978958129883,2.6804544925689697,5.749820709228516,4.79538631439209,4.443349838256836,-0.575616180896759,6.201501846313477,2.938267707824707,3.360316038131714,2.4894394874572754,2.6323459148406982,2.7497878074645996,2.610078811645508,3.120500326156616,2.842604637145996,2.526535749435425,2.639537811279297,3.070019483566284,3.228339195251465,0.10113663971424103,0.014454847201704979,-0.012951469048857689,0.015951238572597504,0.059420146048069,0.02707771025598049,0.04075296223163605,0.0014608419733121991,-0.09527631849050522,-0.04112230986356735,0.004091993905603886,0.08618927001953125,0.05085991695523262,-0.3001995384693146,-0.04310417175292969,0.06825102120637894,0.014209560118615627,-0.006874276325106621,0.006150747183710337,0.0074476441368460655,0.09084141254425049,0.023920685052871704,0.014713384211063385,0.011631014756858349,0.0544862374663353,0.036386553198099136
knocking_segment_3.wav,SUSPENSION AND STEERING ISSUES,0.38014132,0.019092757,3650.09000619091,2353.783853272249,0.8636946,6590.189873417721,0.4246996143196203,2073.4565,-0.4140419,130.47052001953125,11.644229888916016,-5.153435707092285,-3.8510043621063232,1.4855629205703735,1.9375063180923462,1.5968966484069824,4.409112453460693,4.031653881072998,2.006370782852173,0.4966234564781189,3.0683200359344482,2.3162853717803955,6.462141990661621,3.077195167541504,6.784018039703369,4.023497581481934,3.8427391052246094,3.645723581314087,3.716195583343506,3.022191286087036,2.953272819519043,3.922145128250122,3.3691463470458984,3.274844169616699,3.4299395084381104,0.08675211668014526,0.0033126918133348227,-0.20124909281730652,-0.046852629631757736,0.01711892895400524,0.03240705281496048,0.07577022165060043,0.060362864285707474,0.031082361936569214,-0.17590880393981934,-0.11858265101909637,-0.08707460016012192,-0.034128911793231964,-0.2969174087047577,-0.041722238063812256,-0.011868548579514027,0.04603532701730728,0.051967818289995193,0.021739881485700607,-0.02910708822309971,0.004265905357897282,-0.0008791046566329896,0.0278076883405447,0.02776581048965454,-0.010946720838546753,-0.028036588802933693
knocking_segment_4.wav,SUSPENSION AND STEERING ISSUES,0.37765983,0.02090296,3626.88153504908,2359.9960288593866,0.86309904,6597.211234177215,0.4179996538765823,2059.0176,0.52722704,131.03460693359375,12.663283348083496,-5.894524097442627,-3.623284339904785,2.5701990127563477,3.2974889278411865,1.718225359916687,2.9580421447753906,3.280717611312866,0.45993858575820923,-0.373001366853714,1.750428557395935,2.017256259918213,6.131971836090088,3.7186484336853027,4.3830790519714355,3.0525670051574707,3.242570400238037,3.2465572357177734,3.0322036743164062,2.4484829902648926,3.0084540843963623,2.5834102630615234,3.3356425762176514,3.0567338466644287,2.4710347652435303,0.049403734505176544,-0.05921924486756325,-0.005040989723056555,0.03385981172323227,0.08117310702800751,-0.0454673171043396,0.078169085085392,0.026482805609703064,-0.0884983241558075,-0.0405581071972847,-0.062201306223869324,-0.023956652730703354,0.012253960594534874,-0.2812800705432892,0.03199687972664833,0.10604061931371689,0.0199584923684597,-0.013513082638382912,0.0063485014252364635,0.07180950045585632,-0.025196857750415802,-0.06842624396085739,0.011716659180819988,0.08170577883720398,0.060826532542705536,-0.012747115455567837
problem 3_segment_0.wav,SUSPENSION AND STEERING ISSUES,0.3794432,0.019279756,3598.7719669528506,2395.533167330641,0.8554273,6612.143987341772,0.40361080893987344,2027.545,0.5041219,128.2734832763672,15.415156364440918,1.6838431358337402,3.433039426803589,5.903621196746826,5.236808776855469,5.991069316864014,7.3421406745910645,4.543362617492676,0.40982934832572937,0.2671431005001068,2.554216146469116,3.6809985637664795,6.0186381340026855,3.3155124187469482,3.9368016719818115,4.191497802734375,3.274181842803955,3.517692804336548,3.899764060974121,3.22591495513916,3.193528413772583,3.9295506477355957,3.3849892616271973,3.0940630435943604,3.5750606060028076,0.009069033898413181,0.08123230189085007,0.1149802878499031,0.11099063605070114,0.06678468734025955,0.01175385806709528,0.0034902836196124554,0.0014493978815153241,0.02520931512117386,0.06247218698263168,0.06389325857162476,-0.03016263246536255,-0.03341585025191307,-0.21461701393127441,0.02347240224480629,-0.029355911538004875,0.010625877417623997,-0.014296709559857845,-0.02837435156106949,-0.09036035090684891,-0.089615099132061,-0.006207405589520931,0.019330862909555435,0.014026922173798084,-0.011494387872517109,-0.03733004629611969
problem 3_segment_1.wav,SUSPENSION AND STEERING ISSUES,0.37840298,0.018960128,3616.299840022398,2393.129879912854,0.86997753,6615.8030063291135,0.4098904766613924,2033.828,0.32385957,127.63445281982422,14.510400772094727,1.5310475826263428,3.1100311279296875,5.742229461669922,5.6712212562561035,6.199258804321289,7.6515278816223145,4.957648277282715,0.47644299268722534,0.11143393814563751,2.745638370513916,3.967681884765625,6.344517707824707,3.557683229446411,4.404829025268555,3.8765671253204346,3.2746195793151855,3.0347132682800293,3.7539379596710205,3.812330484390259,2.8811638355255127,3.8443543910980225,2.843498945236206,3.1479506492614746,2.9807169437408447,-0.04550110176205635,-0.09673956036567688,0.02216404676437378,-0.05059090256690979,0.028248408809304237,-0.03756539151072502,0.014680474996566772,0.07032255828380585,0.11766514927148819,0.07807939499616623,-0.028418589383363724,0.1354956477880478,0.030206752941012383,-0.27102887630462646,0.058392804116010666,0.11873389780521393,0.0801510363817215,0.04406435415148735,0.007845988497138023,0.04382341727614403,0.02901913784444332,0.02008170261979103,0.10258534550666809,-0.010149398818612099,-0.040330737829208374,-0.017347674816846848
problem 3_segment_2.wav,SUSPENSION AND STEERING ISSUES,0.37842578,0.01802457,3611.694251157271,2394.3873468500083,0.85155094,6626.878955696203,0.40666411194620256,2043.5593,0.69092584,128.0458526611328,14.858526229858398,1.2624293565750122,3.525594472885132,5.380080223083496,4.607973098754883,6.762200832366943,6.203847885131836,4.088805198669434,0.42545250058174133,0.7358635663986206,3.5499372482299805,3.61643385887146,6.182920932769775,3.997166156768799,3.7733001708984375,3.802950382232666,3.330596685409546,3.1797964572906494,4.250330924987793,3.937878370285034,2.763841390609741,3.4909286499023438,3.394989252090454,3.3027918338775635,3.1387319564819336,0.14573289453983307,-0.0017785460222512484,-0.10574237257242203,-0.10214245319366455,-0.07656684517860413,-0.05215742439031601,-0.18417580425739288,-0.12801244854927063,-0.007151017431169748,-0.036696430295705795,-0.08554033935070038,-0.05173370614647865,0.02905101701617241,-0.29452839493751526,-0.07332930713891983,-0.0557955726981163,-0.024552183225750923,0.024929184466600418,-0.0360737219452858,0.045451827347278595,0.020756181329488754,0.013573131524026394,-0.019030490890145302,-0.005318846087902784,-0.07293761521577835,-0.049860674887895584
problem 3_segment_3.wav,SUSPENSION AND STEERING ISSUES,0.37826097,0.018764725,3610.761405087339,2392.530707992613,0.879161,6617.583069620253,0.40576789952531644,2037.8944,0.66047984,127.59123992919922,14.592561721801758,1.3840444087982178,3.2322590351104736,5.344755172729492,5.644411563873291,6.498232364654541,6.2747039794921875,4.325954437255859,0.4106440544128418,0.7023509740829468,3.0865087509155273,3.6275415420532227,5.717677116394043,4.05455207824707,4.919885158538818,3.9456117153167725,3.278613328933716,3.360053539276123,3.6710386276245117,3.7992160320281982,3.175166606903076,3.8843507766723633,3.2083165645599365,3.072648763656616,3.434774160385132,0.0332026407122612,0.1569317877292633,0.12290014326572418,-0.009116936475038528,-0.08911827206611633,-0.002149219624698162,-0.023682812228798866,-0.012574244290590286,0.028140228241682053,0.1076759397983551,0.09830240905284882,0.020272716879844666,0.03320539370179176,-0.23469290137290955,-0.0006634623277932405,-0.009067287668585777,0.0006158137111924589,0.003019311698153615,0.02181931957602501,-0.025406692177057266,-0.07250772416591644,-0.07634911686182022,0.0057669756934046745,0.0024815925862640142,0.008632175624370575,0.05562068894505501
problem1_segment_0.wav,SUSPENSION AND STEERING ISSUES,0.3767591,0.019393431,3584.302500470388,2422.899603423089,0.875699,6611.550632911392,0.3970097409018987,2002.425,0.50976634,125.60313415527344,18.05006217956543,7.368766784667969,5.240865707397461,6.136170864105225,7.546756744384766,5.304137229919434,3.34555721282959,3.19461727142334,1.8818122148513794,2.8092784881591797,3.445552349090576,1.4243968725204468,6.19114875793457,2.9981536865234375,4.22683572769165,4.820496559143066,4.253810882568359,4.0031514167785645,3.2072458267211914,3.4159066677093506,3.365445375442505,2.7676479816436768,2.607766628265381,3.2539591789245605,3.8081130981445312,0.013265687972307205,-0.050581831485033035,0.05550815910100937,-0.008480443619191647,-0.01686783693730831,0.021351663395762444,0.028225591406226158,0.08393266797065735,0.03937200829386711,-0.02467644400894642,-0.0021832191850990057,0.05173270404338837,0.11424101889133453,-0.24501477181911469,0.015051007270812988,-0.03855155408382416,-0.04749957472085953,-0.03342648968100548,-0.01297800149768591,-0.021705826744437218,-0.04354143887758255,-0.06586311757564545,-0.045747701078653336,-0.014136905781924725,0.01032116636633873,-0.11681794375181198
